id;secid;shortname;regnumber;name;isin;is_traded;emitent_id;emitent_title;emitent_inn;emitent_okpo;gosreg;type;group;primary_boardid;marketprice_boardid
27728907;SU26226RMFS9;ОФЗ 26226;26226RMFS;ОФЗ-ПД 26226 07/10/26;RU000A0ZZYW2;1;1374788;Министерство финансов Российской Федерации;7710168360;;26226RMFS;ofz_bond;stock_bonds;TQOB;TQOB
44942926;SU26227RMFS7;ОФЗ 26227;26227RMFS;ОФЗ-ПД 26227 17/07/24;RU000A1007F4;1;1374788;Министерство финансов Российской Федерации;7710168360;;26227RMFS;ofz_bond;stock_bonds;TQOB;TQOB
56269074;SU26228RMFS5;ОФЗ 26228;26228RMFS;ОФЗ-ПД 26228 10/04/30;RU000A100A82;1;1374788;Министерство финансов Российской Федерации;7710168360;;26228RMFS;ofz_bond;stock_bonds;TQOB;TQOB
72266956;SU26229RMFS3;ОФЗ 26229;26229RMFS;ОФЗ-ПД 26229 12/11/25;RU000A100EG3;1;1374788;Министерство финансов Российской Федерации;7710168360;;26229RMFS;ofz_bond;stock_bonds;TQOB;TQOB
77189865;SU26230RMFS1;ОФЗ 26230;26230RMFS;ОФЗ-ПД 26230 16/03/39;RU000A100EF5;1;1374788;Министерство финансов Российской Федерации;7710168360;;26230RMFS;ofz_bond;stock_bonds;TQOB;TQOB
102477459;SU26231RMFS9;ОФЗ 26231;26231RMFS;ОФЗ-ПД 26231 20/07/44;RU000A100MY9;1;1374788;Министерство финансов Российской Федерации;7710168360;;26231RMFS;ofz_bond;stock_bonds;TQOB;TQOB
213815013;SU26232RMFS7;ОФЗ 26232;26232RMFS;ОФЗ-ПД 26232 06/10/27;RU000A1014N4;1;1374788;Министерство финансов Российской Федерации;7710168360;;26232RMFS;ofz_bond;stock_bonds;TQOB;TQOB
382786891;SU26233RMFS5;ОФЗ 26233;26233RMFS;ОФЗ-ПД 26233 18/07/2035;RU000A101F94;1;1374788;Министерство финансов Российской Федерации;7710168360;;26233RMFS;ofz_bond;stock_bonds;TQOB;TQOB
411250367;SU26234RMFS3;ОФЗ 26234;26234RMFS;ОФЗ-ПД 26234 16/07/2025;RU000A101QE0;1;1374788;Министерство финансов Российской Федерации;7710168360;;26234RMFS;ofz_bond;stock_bonds;TQOB;TQOB
412192903;SU26235RMFS0;ОФЗ 26235;26235RMFS;ОФЗ-ПД 26235 12/03/2031;RU000A1028E3;1;1374788;Министерство финансов Российской Федерации;7710168360;;26235RMFS;ofz_bond;stock_bonds;TQOB;TQOB
412374771;SU26236RMFS8;ОФЗ 26236;26236RMFS;ОФЗ-ПД 26236 17/05/2028;RU000A102BT8;1;1374788;Министерство финансов Российской Федерации;7710168360;;26236RMFS;ofz_bond;stock_bonds;TQOB;TQOB
413829199;SU26237RMFS6;ОФЗ 26237;26237RMFS;ОФЗ-ПД 26237 14/03/2029;RU000A1038Z7;1;1374788;Министерство финансов Российской Федерации;7710168360;;26237RMFS;ofz_bond;stock_bonds;TQOB;TQOB
413829201;SU26238RMFS4;ОФЗ 26238;26238RMFS;ОФЗ-ПД 26238 15/05/2041;RU000A1038V6;1;1374788;Министерство финансов Российской Федерации;7710168360;;26238RMFS;ofz_bond;stock_bonds;TQOB;TQOB
413778887;SU26239RMFS2;ОФЗ 26239;26239RMFS;ОФЗ-ПД 26239 23/07/2031;RU000A103901;1;1374788;Министерство финансов Российской Федерации;7710168360;;26239RMFS;ofz_bond;stock_bonds;TQOB;TQOB
413932413;SU26240RMFS0;ОФЗ 26240;26240RMFS;ОФЗ-ПД 26240 30/07/2036;RU000A103BR0;1;1374788;Министерство финансов Российской Федерации;7710168360;;26240RMFS;ofz_bond;stock_bonds;TQOB;TQOB
420607825;SU26241RMFS8;ОФЗ 26241;26241RMFS;ОФЗ-ПД 26241 17/11/32;RU000A105FZ9;1;1374788;Министерство финансов Российской Федерации;7710168360;;26241RMFS;ofz_bond;stock_bonds;TQOB;TQOB
421701399;SU26242RMFS6;ОФЗ 26242;26242RMFS;ОФЗ-ПД 26242 29/08/29;RU000A105RV3;1;1374788;Министерство финансов Российской Федерации;7710168360;;26242RMFS;ofz_bond;stock_bonds;TQOB;TQOB
423585663;SU26243RMFS4;ОФЗ 26243;26243RMFS;ОФЗ-ПД 26243 19/05/38;RU000A106E90;1;1374788;Министерство финансов Российской Федерации;7710168360;;26243RMFS;ofz_bond;stock_bonds;TQOB;TQOB
425417113;SU26244RMFS2;ОФЗ 26244;26244RMFS;ОФЗ-ПД 26244 15/03/34;RU000A1074G2;1;1374788;Министерство финансов Российской Федерации;7710168360;;26244RMFS;ofz_bond;stock_bonds;TQOB;TQOB
